CASE_NUMBER,DATE,VICTIMIZATION_PRIMARY,INCIDENT_PRIMARY,GUNSHOT_INJURY_I,COMMUNITY_AREA,STREET_OUTREACH_ORGANIZATION,AREA,DISTRICT,BEAT,AGE,SEX,RACE,VICTIMIZATION_IUCR_SECONDARY,MONTH,DAY_OF_WEEK,HOUR,LOCATION_DESCRIPTION
JE211144,4/26/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1014,60-69,M,BLK,AGGRAVATED - HANDGUN,4,2,21,CONVENIENCE STORE
JE211144,4/26/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1014,30-39,M,BLK,AGGRAVATED - HANDGUN,4,2,21,CONVENIENCE STORE
JE212116,4/27/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,735,20-29,M,BLK,AGGRAVATED - HANDGUN,4,3,18,RESIDENCE - PORCH / HALLWAY
JE212289,4/27/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1133,20-29,M,BLK,AGGRAVATED - HANDGUN,4,3,21,STREET
JE212289,4/27/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1133,20-29,M,BLK,AGGRAVATED - HANDGUN,4,3,21,STREET
JE212319,4/27/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,725,50-59,M,BLK,AGGRAVATED - HANDGUN,4,3,21,RESIDENCE - YARD (FRONT / BACK)
JE213581,4/29/21,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1522,20-29,M,BLK,AGGRAVATED - HANDGUN,4,5,5,APARTMENT
JE213581,4/29/21,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1522,20-29,M,BLK,AGGRAVATED - HANDGUN,4,5,5,APARTMENT
JE214310,4/29/21,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1522,30-39,M,BLK,AGGRAVATED - HANDGUN,4,5,18,SIDEWALK
JE214320,4/29/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1132,30-39,M,BLK,AGGRAVATED - HANDGUN,4,5,19,RESIDENCE
JE214320,4/29/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1132,40-49,M,BLK,AGGRAVATED - HANDGUN,4,5,19,RESIDENCE
JE214595,4/30/21,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1524,20-29,M,BLK,AGGRAVATED - HANDGUN,4,6,5,SIDEWALK
JE215050,4/30/21,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,READI 60621 | Public Equity Englewood,1,7,731,30-39,M,BLK,AGGRAVATED - HANDGUN,4,6,14,SIDEWALK
JA218985,4/9/17,BATTERY,BATTERY,YES,EAST GARFIELD PARK,READI 60624 | Breakthrough East Garfield Park,4,11,1123,20-29,M,BLK,AGGRAVATED - HANDGUN,4,1,21,SIDEWALK
JE215160,4/30/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,735,30-39,M,BLK,AGGRAVATED - HANDGUN,4,6,16,VACANT LOT / LAND
JE215377,4/30/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623 | CRED West Side,4,10,1024,0-19,M,BLK,AGGRAVATED - HANDGUN,4,6,19,RESIDENCE - PORCH / HALLWAY
JE215592,5/1/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,726,20-29,M,BLK,AGGRAVATED - HANDGUN,5,7,0,SIDEWALK
JE216510,5/1/21,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1513,30-39,M,BLK,AGGRAVATED - HANDGUN,5,7,22,PARKING LOT / GARAGE (NON RESIDENTIAL)
JE216511,5/1/21,BATTERY,HOMICIDE,YES,ENGLEWOOD,TADC Englewood | READI 60621,1,7,712,30-39,M,BLK,AGGRAVATED - HANDGUN,5,7,22,STREET
JE216539,5/1/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60624,4,11,1133,30-39,M,BLK,AGGRAVATED - HANDGUN,5,7,23,VACANT LOT / LAND
JE216539,5/1/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60624,4,11,1133,30-39,M,BLK,AGGRAVATED - HANDGUN,5,7,23,VACANT LOT / LAND
JE216552,5/1/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,READI 60631,1,7,713,0-19,M,BLK,AGGRAVATED - HANDGUN,5,7,23,RESIDENCE
JE218888,5/3/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,READI 60631 | Public Equity West Englewood,1,7,734,0-19,M,BLK,AGGRAVATED - HANDGUN,5,2,23,SIDEWALK
JE219709,5/4/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1021,0-19,M,BLK,AGGRAVATED - HANDGUN,5,3,17,SIDEWALK
JE220914,5/5/21,BATTERY,HOMICIDE,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1115,30-39,M,BLK,AGGRAVATED - HANDGUN,5,4,20,STREET
JE221066,5/5/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,READI 60631 | Public Equity West Englewood,1,7,734,30-39,M,BLK,AGGRAVATED - HANDGUN,5,4,23,SIDEWALK
JE221224,5/6/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1132,50-59,M,BLK,AGGRAVATED - HANDGUN,5,5,6,VEHICLE NON-COMMERCIAL
JE222227,5/7/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1122,40-49,M,BLK,AGGRAVATED - HANDGUN,5,6,4,SIDEWALK
JE222537,5/7/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1115,60-69,M,BLK,AGGRAVATED - HANDGUN,5,6,12,ALLEY
JE222537,5/7/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1115,50-59,M,BLK,AGGRAVATED - HANDGUN,5,6,12,ALLEY
JE223145,5/7/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,READI 60631 | Public Equity West Englewood,1,7,734,30-39,M,BLK,AGGRAVATED - HANDGUN,5,6,23,SIDEWALK
JE223211,5/8/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631,1,7,715,40-49,M,BLK,AGGRAVATED - HANDGUN,5,7,1,SIDEWALK
JE225079,5/9/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623 | CRED West Side,4,10,1011,40-49,M,BLK,AGGRAVATED - HANDGUN,5,1,22,STREET
